cluster_id,travel_mode,place_id,user_location,commute
8ab4d31c-41b7-49a4-a53d-6111a6fca8b5,driving,ChIJ15bCAa-VQIYRgre6kQrwhqI,"coffee shop",9.85
2c1e9360-f594-4e27-9c3c-fda93ab1e903,driving,ChIJjz2QFDuTQIYRhh-T5BxQVfk,"coffee shop",3.633333333333333
7eb203f5-f2ed-42d4-9613-b101fb90e927,driving,ChIJpdGum3jtQIYR1HTF4_thS8c,"coffee shop",5.2
bd7cf156-0f00-4fe4-8ca6-594fe070eb9e,driving,ChIJPYxrLqGTQIYRCs6ALSmYBas,"coffee shop",4.85
0fe621fa-3bb7-414e-a087-b988fc8895e5,driving,ChIJjz2QFDuTQIYRhh-T5BxQVfk,"coffee shop",5.616666666666666
816c89d6-ba49-4bd7-9ad3-a1b9f217dc77,driving,ChIJjz2QFDuTQIYRhh-T5BxQVfk,"coffee shop",4.533333333333333
50685b32-32c3-4ee5-9020-58bf3eac5c9a,driving,ChIJPYxrLqGTQIYRCs6ALSmYBas,"coffee shop",9.6
421d03cb-7369-48fe-991c-27f4ef026de9,driving,ChIJPYxrLqGTQIYRCs6ALSmYBas,"coffee shop",9.95
34f46d23-fd7e-49d6-aebf-90d5c10ffdd5,driving,ChIJpdGum3jtQIYR1HTF4_thS8c,"coffee shop",6.516666666666667
b2a15510-a084-45fe-b2ac-e1e3d9aab3d6,driving,ChIJGfa37H-QQIYR3QoGKBoiqSQ,"coffee shop",4.15
e82a7c7c-7b05-44fd-95de-91915f9da40f,driving,ChIJGfa37H-QQIYR3QoGKBoiqSQ,"coffee shop",2.033333333333333
c2e88c51-718d-49f1-8e24-dd9e08293d3b,driving,ChIJGfa37H-QQIYR3QoGKBoiqSQ,"coffee shop",6.3
0f98bd7e-8fab-4658-a68b-b41f6a6294f3,driving,ChIJpdGum3jtQIYR1HTF4_thS8c,"coffee shop",10.95
909df0b9-b90f-421c-baee-4dbef9067a23,driving,ChIJW1r3dSmXQIYR7bY1eeCBlwc,"coffee shop",5.166666666666667
4ebda812-0c4b-46ef-b11a-f83b9d9070a1,driving,ChIJW1r3dSmXQIYR7bY1eeCBlwc,"coffee shop",5
9af97f32-14b7-4624-b9d0-74ae41d89e54,driving,ChIJjz2QFDuTQIYRhh-T5BxQVfk,"coffee shop",5.216666666666667
ae17fcf0-a24a-439a-8e45-a3df6c39521c,driving,ChIJpy1LFqqRQIYRAyMmYb_etzc,"coffee shop",9.316666666666666
3efc6adc-2178-41a3-8f9f-6b4f2b16d69c,driving,ChIJITVLohuRQIYRHUrYfANb_pU,"coffee shop",6.9
19c32d2c-3bee-4eb3-bed0-8fb62bfd0ac4,driving,ChIJPYxrLqGTQIYRCs6ALSmYBas,"coffee shop",5.533333333333333
36f6cdc6-85d6-49f9-a352-e9d5546680c5,driving,ChIJGfa37H-QQIYR3QoGKBoiqSQ,"coffee shop",12.11666666666667
330df58b-f8c4-4d86-8c06-ac00937d513b,driving,ChIJGfa37H-QQIYR3QoGKBoiqSQ,"coffee shop",4.716666666666667
1e5332a8-89ec-4f7b-a30a-f77a685eb3a9,driving,ChIJL-6ZOxGTQIYR5Pa0d8w8SDI,"coffee shop",2.383333333333333
